Source,Page,Position,Item No.,Item Name,Unit Price,Set Up Dimension,Weight Stack,N.W.,G.W.,Volume,Photo File,Image,Image Source,Source URL,Catalog Page
Price_List,30,2,RCT-900M,Commercial Treadmill,"US$1,733",2170*930*1650mm,/,230kg,260kg,1.2,photos/Price_List_RCT-900M_p30.png,images/RCT-900M - Commercial Treadmill/01 - Commercial Treadmill.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,10
Price_List,30,3,RCT-950A,Commercial Treadmill(invert Mitsubish) 21.5inch LCD,"US$2,681",2160*910*1600mm,/,230kg,260kg,1.6,photos/Price_List_RCT-950A_p30.png,images/RCT-950A - Commercial Treadmill(invert Mitsubish) 21.5inch LCD/01 - Commercial Treadmill(invert Mitsubish) 21.5inch LCD.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,12
Price_List,30,4,RCT-950A,Commercial Treadmill (invert Mitsubish) 27inch LCD screen,"US$3,222",2160*910*1600mm,/,230kg,260kg,1.7,photos/Price_List_RCT-950A_p30_2.png,images/RCT-950A - Commercial Treadmill (invert Mitsubish) 27inch LCD screen/01 - Commercial Treadmill (invert Mitsubish) 27inch LCD screen.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,12
Price_List,30,5,RS-800,Stairmaster,"US$1,680",1570*760*2270mm,/,300kg,320kg,1.7,photos/Price_List_RS-800_p30.png,images/RS-800 - Stairmaster/01 - Stairmaster.png,Fallback from supplied price-list PDF (no matching image in 2025 web catalog),,
Price_List,30,6,RE-6600R,Recumbent Bike (without pad),"US$1,400",1120*580*1460mm,/,69kg,75kg,1.7,photos/Price_List_RE-6600R_p30.png,images/RE-6600R - Recumbent Bike (without pad)/01 - Recumbent Bike (without pad).jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,16
Price_List,30,7,RE-6600U,Uprigt Bike (without pad),"US$1,258",1520*585*1130mm,/,85kg,92kg,1.4,photos/Price_List_RE-6600U_p30.png,images/RE-6600U - Uprigt Bike (without pad)/01 - Uprigt Bike (without pad).jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,15
Price_List,31,8,RE-6600E,Elliptical Bike,"US$1,543",2130*670*1780mm,/,100kg,140kg,1.8,photos/Price_List_RE-6600E_p31.png,images/RE-6600E - Elliptical Bike/01 - Elliptical Bike.jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,19
Price_List,31,9,RE-6800E,Elliptical Bike (Fixed Angle),"US$1,784",2140*720*1780mm,/,110kg,130kg,1.5,photos/Price_List_RE-6800E_p31.png,images/RE-6800E - Elliptical Bike (Fixed Angle)/01 - Elliptical Bike (Fixed Angle).jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,20
Price_List,31,10,RE-6900E,Ellptical BikeAdjustable),"US$2,052",2140*720*1780mm,/,110kg,130kg,1.7,photos/Price_List_RE-6900E_p31.png,images/RE-6900E - Ellptical BikeAdjustable)/01 - Ellptical BikeAdjustable).jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,21
Price_List,31,11,RSB-260,Spinning Bike (no hand-pulse),US$384,1145*630*970mm,/,58kg,60kg,0.3,photos/Price_List_RSB-260_p31.png,images/RSB-260 - Spinning Bike (no hand-pulse)/01 - Spinning Bike (no hand-pulse).jpeg,Official Realleader 2025 web catalog,https://realleadergym.com/album-dc15060.html,17
